scenario_group,scenario_name,eta_dis,row_shape_profile,n_cases,n_converged,n_failed,n_labels,label_counts_json,label_agreement_to_baseline,median_final_min_q_b_over_q_b0,median_total_row_dissipation,median_slip_index,median_peak_base_reaction
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",1.0,1.0,2.324914619496279,1.632666292757987,44376.62738271803
eta_envelope,eta_ds1_ci_lo,0.17730032,outer_amplified,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",1.0,0.8070045163429416,2.429920641884485,1.632666292757987,44376.62738271803
eta_envelope,eta_ds1_fit,0.30874999,outer_amplified,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",1.0,0.6982142714285715,2.362803288373377,1.632666292757987,44376.62738271803
eta_envelope,eta_ds1_ci_hi,0.33406249,outer_amplified,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",1.0,0.6982142714285715,2.3689914193423647,1.632666292757987,44376.62738271803
row_shape,shape_outer_amplified,0.30874999,outer_amplified,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 23, ""stiff_composite_like"": 7}",1.0,0.6982142714285715,2.362803288373377,1.632666292757987,44376.62738271803
row_shape,shape_uniform,0.30874999,uniform,90,90,0,4,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 30}",0.8555555555555555,0.5920311704553183,5.578217786812727,2.4986838717431006,46733.289776183665
row_shape,shape_outer_mild,0.30874999,outer_mild,90,90,0,5,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 4, ""slip_dominated"": 26, ""stiff_composite_like"": 6}",0.9555555555555556,0.6982142714285715,4.032863570222913,1.8828826690599132,46733.289776183665
row_shape,shape_center_amplified,0.30874999,center_amplified,90,90,0,4,"{""global_instability_sensitive"": 36, ""local_buckling_softening"": 18, ""mixed_slip_stability"": 6, ""slip_dominated"": 30}",0.8555555555555555,0.5920311704553183,3.0594043662838173,2.4986838717431006,43965.63168827444
