case_id,ieff_slice,h,b,t1,t2,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
W4-01,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.2,0.7,3,0.1,0.35,43504.01730841398,8840265.140278907,1.6365338801859322,0.48874999,0.5437511518751008,3,0.3333333333333333,1.218404321606375,3.0460108040159377,0.0,0.0673076923076923,2.1227654194365595,slip_dominated,371,0,True
W4-02,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.35,1.0,3,0.1,0.35,43504.01730841398,14830652.346967947,0.9012897527495304,0.8608633989257402,0.9072422659504934,2,1.0,1.218404321606375,1.218404321606375,0.0,0.0673076923076923,3.5612049469407614,slip_dominated,364,0,True
W4-03,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.55,1.3,3,0.1,0.35,46611.447116076946,18271761.423944537,0.0,1.3,1.3,0,1.0,1.218404321606375,0.5964216958912324,0.0,0.0673076923076923,4.09500000000401,stiff_composite_like,361,0,True
W4-04,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.2,0.7,5,0.1,0.35,43504.01730841398,9755509.539337574,1.9907122663132069,0.5357681496411694,0.5770735215365839,5,0.2,1.0072582498139109,2.5181456245347773,0.0,0.0673076923076923,2.342538144555688,slip_dominated,377,0,True
W4-05,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.35,1.0,5,0.1,0.35,45057.73221230507,17565737.09534621,0.11683251501693384,0.9819639810784234,0.9927855924313693,2,1.0,1.0072582498139109,1.0072582498139109,0.0,0.0673076923076923,4.072519058218304,slip_dominated,364,0,True
W4-06,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,2393.172105652397,35.0,0.55,1.3,5,0.1,0.35,46611.447116076946,18271761.423944537,0.0,1.3,1.3,0,1.0,1.0072582498139109,0.4930634789298864,0.0,0.0673076923076923,4.09500000000401,stiff_composite_like,361,0,True
W4-07,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.2,0.7,3,0.25,0.35,30154.129944995046,8753273.85696257,2.346599955130335,0.48874999,0.5306995644291839,3,0.0,1.5273506473629426,3.8183766184073566,0.34023758757234224,0.2644230769230769,2.419036760174491,slip_dominated,376,0,True
W4-08,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.35,1.0,3,0.25,0.35,21155.69706250727,3810858.3896913766,1.9804931085588438,0.6942613862686942,0.7961742575124627,2,0.3333333333333333,1.5273506473629426,1.5273506473629426,0.34023758757234224,0.2644230769230769,1.5011159005348527,slip_dominated,365,0,True
W4-09,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.55,1.3,3,0.25,0.35,0.04213041067123413,20.702878329623488,0.0,1.3,1.3,0,1.0,1.5273506473629426,0.7476541630447969,0.34023758757234224,0.2644230769230769,4.094998917207136,mixed_slip_stability,361,0,True
W4-10,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.2,0.7,5,0.25,0.35,30154.129944995046,8152781.664909249,3.0303322414893152,0.48874999,0.523558664609354,5,0.0,1.2626650387177114,3.1566625967942787,0.2525584930582636,0.2644230769230769,2.2530859730162325,slip_dominated,380,0,True
