case_id,ieff_slice,h,b,t1,t2,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
W4-11,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.35,1.0,5,0.25,0.35,25161.38752451539,3003094.6030057403,1.4728610643581597,0.8368425112971831,0.9090508322216058,4,1.0,1.2626650387177114,1.2626650387177114,0.2525584930582636,0.2644230769230769,0.9946108231908076,slip_dominated,367,0,True
W4-12,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3000.0,55.0,0.55,1.3,5,0.25,0.35,0.04213041067123413,20.702878329623488,0.0,1.3,1.3,0,1.0,1.2626650387177114,0.618087781190488,0.2525584930582636,0.2644230769230769,4.094998917207136,stiff_composite_like,361,0,True
W4-13,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.2,0.7,3,0.4,0.35,46733.289776183665,21827165.000900052,3.0674493998896306,0.48874999,0.5166614478444705,3,0.0,1.7835612995047043,4.458903248761761,1.0683949255377825,0.5769230769230769,3.3330393757645207,local_buckling_softening,379,0,True
W4-14,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.35,1.0,3,0.4,0.35,38636.51487572491,16539053.471701585,2.8561282626202775,0.5590852137386356,0.7060568091590905,2,0.3333333333333333,1.7835612995047043,1.7835612995047043,1.0683949255377825,0.5769230769230769,3.054795719632477,local_buckling_softening,365,0,True
W4-15,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.55,1.3,3,0.4,0.35,22183.98754480481,12729872.440337168,0.0,1.3,1.3,0,1.0,1.7835612995047043,0.8730719647925125,1.0683949255377825,0.5769230769230769,4.095000000002857,local_buckling_softening,361,0,True
W4-16,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.2,0.7,5,0.4,0.35,46733.289776183665,21210227.83062599,3.924195594615536,0.48874999,0.5054968647066824,5,0.0,1.4744750992071105,3.6861877480177765,0.933079369661479,0.5769230769230769,3.23883218574184,local_buckling_softening,382,0,True
W4-17,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.35,1.0,5,0.4,0.35,41897.43290102482,16488128.236270526,2.7802801605829996,0.7337743063646169,0.8283177056445601,4,1.0,1.4744750992071105,1.4744750992071105,0.933079369661479,0.5769230769230769,2.8083640786149195,local_buckling_softening,367,0,True
W4-18,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3503.2452487268533,75.0,0.55,1.3,5,0.4,0.35,22183.98754480481,12729872.440337168,0.0,1.3,1.3,0,1.0,1.4744750992071105,0.7217710275839001,0.933079369661479,0.5769230769230769,4.095000000002857,local_buckling_softening,361,0,True
W4-19,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.2,0.7,3,0.55,0.35,60301.96976865828,33330221.65316526,3.6187310665344508,0.48874999,0.505440785248067,3,0.0,2.007332014934704,5.01833003733676,2.0175494322242518,1.0048076923076925,3.504652796968462,global_instability_sensitive,379,0,True
W4-20,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.35,1.0,3,0.55,0.35,49612.164471939206,27419353.126802437,3.771158049977553,0.48874999,0.65916666,2,0.3333333333333333,2.007332014934704,2.007332014934704,2.0175494322242518,1.0048076923076925,3.5043487963902775,global_instability_sensitive,368,0,True
W4-21,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.55,1.3,3,0.55,0.35,35462.347591236234,22902510.57551518,0.0,1.3,1.3,0,1.0,2.007332014934704,0.9826100772407641,2.0175494322242518,1.0048076923076925,4.094999999997429,global_instability_sensitive,361,0,True
W4-22,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.2,0.7,5,0.55,0.35,60301.96976865828,32958204.3989084,4.708435008825573,0.48874999,0.4987644671488402,5,0.0,1.6594669735682106,4.148667433920527,1.820139656284347,1.0048076923076925,3.465535406024618,global_instability_sensitive,387,0,True
W4-23,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.35,1.0,5,0.55,0.35,53115.04471568763,27115603.206311755,3.9921272519404862,0.6220545963644366,0.7534861501769295,4,0.6,1.6594669735682106,1.6594669735682106,1.820139656284347,1.0048076923076925,3.2369799897126885,global_instability_sensitive,368,0,True
W4-24,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,3942.7724440366255,95.0,0.55,1.3,5,0.55,0.35,35462.347591236234,22902510.57551518,0.0,1.3,1.3,0,1.0,1.6594669735682106,0.8123264905578652,1.820139656284347,1.0048076923076925,4.094999999997429,global_instability_sensitive,361,0,True
W4-25,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.2,0.7,3,0.7,0.35,82406.59041731432,48926459.36548745,4.17564729780941,0.48874999,0.49515756317896,3,0.0,2.2085453871887553,5.521363467971889,3.306309679835236,1.5480769230769231,3.421629814778083,global_instability_sensitive,379,0,True
W4-26,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.35,1.0,3,0.7,0.35,82406.59041731432,39971484.62528952,4.688340332604468,0.48874999,0.6375081688886942,3,0.3333333333333333,2.2085453871887553,2.2085453871887553,3.306309679835236,1.5480769230769231,2.7953713656890895,global_instability_sensitive,371,0,True
W4-27,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.55,1.3,3,0.7,0.35,58752.33125523478,33717150.53585447,2.1258359035950747,0.9718240930116901,1.0812160620077935,2,1.0,2.2085453871887553,1.081106133588901,3.306309679835236,1.5480769230769231,3.307325502001092,global_instability_sensitive,364,0,True
W4-28,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.2,0.7,5,0.7,0.35,82406.59041731432,48648882.79388061,5.467395145492273,0.48874999,0.49259453390737595,5,0.0,1.8258106294316108,4.564526573579028,3.024588485827323,1.5480769230769231,3.402217736209328,global_instability_sensitive,386,0,True
W4-29,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.35,1.0,5,0.7,0.35,82406.59041731432,39562266.21920826,5.40947408107461,0.5204144622483347,0.6659649863125912,5,0.2,1.8258106294316108,1.8258106294316108,3.024588485827323,1.5480769230769231,2.7667530287572473,global_instability_sensitive,375,0,True
W4-30,H100_B100_T1-6_T2-8,100.0,100.0,6.0,8.0,4337.9928328873275,115.0,0.55,1.3,5,0.7,0.35,44592.908605217934,31686080.996464778,0.0,1.3,1.3,0,1.0,1.8258106294316108,0.8937534549665226,3.024588485827323,1.5480769230769231,4.095000000002124,global_instability_sensitive,361,0,True
