scenario_group,scenario_name,eta_dis,row_shape_profile,case_id,ieff_slice,slice_order,h,b,t1,t2,i_single,i_sep,i_mono,length,slenderness,mu,q_b0,bolt_rows,axial_ratio,k_stick,peak_base_reaction,total_loop_energy,total_row_dissipation,final_min_q_b,final_mean_q_b,final_min_q_b_over_q_b0,rows_relaxed,composite_factor_final,max_abs_row_slip,slip_index,local_buckling_index,global_instability_index,energy_index,weak_state_label,n_newton_iterations_total,n_newton_failures,converged
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-012,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2400.0,55.0,0.55,1.3,5,0.25,0.35,0.02895200252532959,11.381606841310859,0.0,1.3,1.3,1.0,0,1.0,1.0101320309741693,0.49447022495239046,0.2525584930582636,0.2644230769230769,4.094998419997493,stiff_composite_like,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-013,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.2,0.7,3,0.4,0.35,32180.807831443846,10993580.044748325,2.324848492891945,0.7,0.6999999999999998,1.0,0,0.3333333333333333,1.4268490396037634,3.5671225990094086,1.0683949255377825,0.5769230769230769,3.047345393086341,local_buckling_softening,370,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-014,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.35,1.0,3,0.4,0.35,26590.00640193373,8647509.376864756,1.4981914915839518,1.0,1.0,1.0,0,1.0,1.4268490396037634,1.4268490396037634,1.0683949255377825,0.5769230769230769,2.9010290634546556,local_buckling_softening,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-015,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.55,1.3,3,0.4,0.35,15244.790852233768,6998353.8365034005,0.0,1.3,1.3,1.0,0,1.0,1.4268490396037634,0.6984575718340099,1.0683949255377825,0.5769230769230769,4.095000000010363,local_buckling_softening,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-016,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.2,0.7,5,0.4,0.35,32180.807831443846,10844014.05593762,2.885485500328426,0.7,0.7,1.0,0,0.2,1.1795800793656883,2.948950198414221,0.933079369661479,0.5769230769230769,3.0058867212879368,local_buckling_softening,376,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-017,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.35,1.0,5,0.4,0.35,28716.7390037477,8060562.737781152,0.8057974199872072,1.0,1.0,1.0,0,1.0,1.1795800793656883,1.1795800793656883,0.933079369661479,0.5769230769230769,2.503858151149716,local_buckling_softening,367,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-018,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,2802.5961989814828,75.0,0.55,1.3,5,0.4,0.35,15244.790852233768,6998353.8365034005,0.0,1.3,1.3,1.0,0,1.0,1.1795800793656883,0.5774168220671201,0.933079369661479,0.5769230769230769,4.095000000010363,local_buckling_softening,361,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-019,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.2,0.7,3,0.55,0.35,41552.47180844471,17371484.76491034,2.9077748120749805,0.7,0.6999999999999998,1.0,0,0.3333333333333333,1.6058656119477632,4.014664029869408,2.0175494322242518,1.0048076923076925,3.3135107608445886,global_instability_sensitive,378,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-020,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.35,1.0,3,0.55,0.35,34173.29647573829,14442093.435026947,2.2482118567268685,1.0,1.0,1.0,0,1.0,1.6058656119477632,1.6058656119477632,2.0175494322242518,1.0048076923076925,3.349589489006659,global_instability_sensitive,364,0,True
eta_envelope,eta_0_no_relaxation,0.0,outer_amplified,W5-021,small_H80_B80_T1-5_T2-7,1,80.0,80.0,5.0,7.0,1616483.3333333333,3232966.6666666665,7872966.666666666,3154.2179552293005,95.0,0.55,1.3,3,0.55,0.35,24369.65270857513,12590846.727097608,0.0,1.3,1.3,1.0,0,1.0,1.6058656119477632,0.7860880617926113,2.0175494322242518,1.0048076923076925,4.0950000000019715,global_instability_sensitive,361,0,True
