step,time_or_drift,applied_displacement,base_reaction,row_idx,row_slip,row_connector_force,row_dissipation_increment,row_q_b,row_sticking_flag
57,-0.007999999999999998,-23.999999999999996,-0.008426077663898468,1,-0.15119999999999995,-0.05291999999999998,0.0,1.0,True
57,-0.007999999999999998,-23.999999999999996,-0.008426077663898468,2,-0.3054701294725885,-0.10691454531540596,0.0,1.0,True
58,-0.008666666666666665,-25.999999999999993,-0.00912824273109436,0,-0.3309259735953041,-0.11582409075835644,0.0,1.0,True
58,-0.008666666666666665,-25.999999999999993,-0.00912824273109436,1,-0.16379999999999995,-0.05732999999999998,0.0,1.0,True
58,-0.008666666666666665,-25.999999999999993,-0.00912824273109436,2,-0.3309259735953041,-0.11582409075835644,0.0,1.0,True
59,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,0,-0.35638181771802,-0.124733636201307,0.0,1.0,True
59,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,1,-0.1764,-0.061739999999999996,0.0,1.0,True
59,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,2,-0.35638181771802,-0.124733636201307,0.0,1.0,True
60,-0.01,-30.0,-0.010532602667808533,0,-0.38183766184073564,-0.13364318164425745,0.0,1.0,True
60,-0.01,-30.0,-0.010532602667808533,1,-0.18899999999999997,-0.06614999999999999,0.0,1.0,True
60,-0.01,-30.0,-0.010532602667808533,2,-0.38183766184073564,-0.13364318164425745,0.0,1.0,True
61,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,0,-0.35638181771802,-0.124733636201307,0.0,1.0,True
61,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,1,-0.1764,-0.061739999999999996,0.0,1.0,True
61,-0.009333333333333334,-28.000000000000004,-0.009830430150032043,2,-0.35638181771802,-0.124733636201307,0.0,1.0,True
62,-0.008666666666666666,-26.0,-0.009128265082836151,0,-0.33092597359530423,-0.11582409075835648,0.0,1.0,True
62,-0.008666666666666666,-26.0,-0.009128265082836151,1,-0.16379999999999997,-0.057329999999999985,0.0,1.0,True
62,-0.008666666666666666,-26.0,-0.009128265082836151,2,-0.33092597359530423,-0.11582409075835648,0.0,1.0,True
63,-0.008,-24.0,-0.008426085114479065,0,-0.30547012947258856,-0.10691454531540599,0.0,1.0,True
63,-0.008,-24.0,-0.008426085114479065,1,-0.15119999999999997,-0.05291999999999999,0.0,1.0,True
63,-0.008,-24.0,-0.008426085114479065,2,-0.30547012947258856,-0.10691454531540599,0.0,1.0,True
64,-0.007333333333333334,-22.000000000000004,-0.007723905146121979,0,-0.2800142853498729,-0.0980049998724555,0.0,1.0,True
64,-0.007333333333333334,-22.000000000000004,-0.007723905146121979,1,-0.1386,-0.04851,0.0,1.0,True
64,-0.007333333333333334,-22.000000000000004,-0.007723905146121979,2,-0.2800142853498729,-0.0980049998724555,0.0,1.0,True
65,-0.006666666666666667,-20.0,-0.007021740078926086,0,-0.2545584412271571,-0.08909545442950498,0.0,1.0,True
65,-0.006666666666666667,-20.0,-0.007021740078926086,1,-0.12599999999999997,-0.044099999999999986,0.0,1.0,True
65,-0.006666666666666667,-20.0,-0.007021740078926086,2,-0.2545584412271571,-0.08909545442950498,0.0,1.0,True
66,-0.006,-18.0,-0.006319552659988403,0,-0.2291025971044414,-0.08018590898655448,0.0,1.0,True
66,-0.006,-18.0,-0.006319552659988403,1,-0.11339999999999999,-0.039689999999999996,0.0,1.0,True
66,-0.006,-18.0,-0.006319552659988403,2,-0.2291025971044414,-0.08018590898655448,0.0,1.0,True
67,-0.005333333333333334,-16.000000000000004,-0.005617387592792511,0,-0.20364675298172574,-0.071276363543604,0.0,1.0,True
67,-0.005333333333333334,-16.000000000000004,-0.005617387592792511,1,-0.10080000000000001,-0.035280000000000006,0.0,1.0,True
67,-0.005333333333333334,-16.000000000000004,-0.005617387592792511,2,-0.20364675298172574,-0.071276363543604,0.0,1.0,True
68,-0.004666666666666667,-14.000000000000002,-0.004915215075016022,0,-0.17819090885901,-0.0623668181006535,0.0,1.0,True
68,-0.004666666666666667,-14.000000000000002,-0.004915215075016022,1,-0.0882,-0.030869999999999998,0.0,1.0,True
68,-0.004666666666666667,-14.000000000000002,-0.004915215075016022,2,-0.17819090885901,-0.0623668181006535,0.0,1.0,True
69,-0.004,-12.0,-0.0042130425572395325,0,-0.15273506473629428,-0.053457272657702996,0.0,1.0,True
69,-0.004,-12.0,-0.0042130425572395325,1,-0.07559999999999999,-0.026459999999999994,0.0,1.0,True
69,-0.004,-12.0,-0.0042130425572395325,2,-0.15273506473629428,-0.053457272657702996,0.0,1.0,True
